hhid,account_num,account_type,weight,district,urban,gender,age,hh_members,highest_grade_completed,mm_account_cancelled,prefer_cash,mm_trust,mm_account_telco,mm_account_telco_main,v234,agent_trust,v236,v237,v238,v240,v241,v242,v243,v244,v245,v246
1001,1,Mobile Money,145.94444,District_A,Urban,male,32,1,primary 6,no,yes,no,Company_A Company_B,Company_A,yes,no,,yes,yes,no,yes,no,yes,,yes,no
1001,2,Bank Account,145.94444,District_A,Urban,male,32,1,primary 6,no,yes,no,Company_A Company_B,Company_A,yes,no,,yes,yes,no,yes,no,yes,,yes,no
1001,3,VSLA Account,145.94444,District_A,Urban,male,32,1,primary 6,no,yes,no,Company_A Company_B,Company_A,yes,no,,yes,yes,no,yes,no,yes,,yes,no
1002,1,SACCO Account,122.90667,District_B,Rural,male,32,4,primary 3,yes,yes,no,,,,no,,yes,yes,yes,no,no,no,,no,no
1002,2,VSLA Account,122.90667,District_B,Rural,male,32,4,primary 3,yes,yes,no,,,,no,,yes,yes,yes,no,no,no,,no,no
1003,1,Mobile Money,760.46191,District_A,Urban,male,30,8,secondary 6,no,yes,no,Company_A,,yes,no,,no,yes,yes,yes,no,yes,yes,yes,no
1003,2,Bank Account,760.46191,District_A,Urban,male,30,8,secondary 6,no,yes,no,Company_A,,yes,no,,no,yes,yes,yes,no,yes,yes,yes,no
1004,1,Mobile Money,433.96402,District_A,Rural,male,68,4,primary 6,no,yes,no,Company_A,,no,no,,no,no,no,no,no,yes,,no,no
1004,2,Bank Account,433.96402,District_A,Rural,male,68,4,primary 6,no,yes,no,Company_A,,no,no,,no,no,no,no,no,yes,,no,no
1004,3,SACCO Account,433.96402,District_A,Rural,male,68,4,primary 6,no,yes,no,Company_A,,no,no,,no,no,no,no,no,yes,,no,no
1005,1,Mobile Money,303.04395,District_C,Rural,female,28,2,primary 6,no,yes,no,Company_B,,yes,no,no,yes,yes,yes,yes,no,yes,,no,no
1005,2,VSLA Account,303.04395,District_C,Rural,female,28,2,primary 6,no,yes,no,Company_B,,yes,no,no,yes,yes,yes,yes,no,yes,,no,no
1006,1,VSLA Account,1053.4429,District_B,Rural,female,36,7,primary 3,no,yes,,,,,,,,,,,,,,,
1007,1,VSLA Account,259.29567,District_C,Urban,female,66,7,primary 6,yes,yes,no,,,,,,no,yes,no,yes,no,no,,no,no
1008,1,Mobile Money,673.10869,District_B,Rural,male,52,5,primary 4,no,yes,no,Company_A Company_C,Company_A,yes,no,,yes,no,no,yes,no,no,,no,yes
1008,2,SACCO Account,673.10869,District_B,Rural,male,52,5,primary 4,no,yes,no,Company_A Company_C,Company_A,yes,no,,yes,no,no,yes,no,no,,no,yes
1008,3,VSLA Account,673.10869,District_B,Rural,male,52,5,primary 4,no,yes,no,Company_A Company_C,Company_A,yes,no,,yes,no,no,yes,no,no,,no,yes
1009,1,VSLA Account,471.62469,District_C,Rural,female,37,5,primary 6,yes,yes,no,,,,,,yes,yes,yes,no,no,yes,,no,no
1010,1,Mobile Money,289.40952,District_A,Urban,male,45,7,secondary 6,no,yes,no,Company_A Company_B Company_C,Company_A,yes,no,,yes,yes,yes,yes,no,yes,yes,no,no
1010,2,Bank Account,289.40952,District_A,Urban,male,45,7,secondary 6,no,yes,no,Company_A Company_B Company_C,Company_A,yes,no,,yes,yes,yes,yes,no,yes,yes,no,no
1010,3,Online Bank Account,289.40952,District_A,Urban,male,45,7,secondary 6,no,yes,no,Company_A Company_B Company_C,Company_A,yes,no,,yes,yes,yes,yes,no,yes,yes,no,no
1011,1,Mobile Money,233.16049,District_A,Rural,male,25,3,primary 5,no,yes,no,Company_A Company_B,Company_B,yes,yes,,yes,yes,yes,yes,no,no,,no,no
1011,2,VSLA Account,233.16049,District_A,Rural,male,25,3,primary 5,no,yes,no,Company_A Company_B,Company_B,yes,yes,,yes,yes,yes,yes,no,no,,no,no
1012,1,None,1335.6165,District_C,Rural,female,25,6,primary 6,no,no,yes,,,,,,,,,,,,,,
1013,1,Mobile Money,157.29185,District_C,Rural,female,20,1,primary 6,no,yes,no,Company_B,,yes,no,,no,yes,no,no,no,no,,no,no
1013,2,VSLA Account,157.29185,District_C,Rural,female,20,1,primary 6,no,yes,no,Company_B,,yes,no,,no,yes,no,no,no,no,,no,no
1014,1,VSLA Account,390.09477,District_C,Rural,female,32,4,primary 3,no,yes,-97,,,,,,,,,,,,,,
1015,1,Mobile Money,224.36956,District_B,Rural,female,31,5,,no,yes,no,Company_A,,yes,no,,no,yes,no,no,no,yes,,no,no
1015,2,SACCO Account,224.36956,District_B,Rural,female,31,5,,no,yes,no,Company_A,,yes,no,,no,yes,no,no,no,yes,,no,no
1015,3,VSLA Account,224.36956,District_B,Rural,female,31,5,,no,yes,no,Company_A,,yes,no,,no,yes,no,no,no,yes,,no,no
1016,1,VSLA Account,301.16223,District_B,Rural,male,24,3,primary 5,no,yes,no,,,,,,,,,,,,,,
1017,1,None,509.0963,District_A,Urban,female,20,9,other,yes,yes,yes,,,,,,no,no,no,no,no,no,no,no,yes
1018,1,Mobile Money,688.5538,District_C,Rural,female,23,5,secondary 6,no,yes,no,Company_A Company_B,Company_A,yes,no,,,,,,,,,,
1018,2,SACCO Account,688.5538,District_C,Rural,female,23,5,secondary 6,no,yes,no,Company_A Company_B,Company_A,yes,no,,,,,,,,,,
1019,1,Mobile Money,192.6637,District_C,Rural,female,45,3,primary 6,no,yes,no,Company_A Company_B Company_C,Company_B,yes,no,,yes,yes,no,yes,no,yes,yes,yes,no
1019,2,SACCO Account,192.6637,District_C,Rural,female,45,3,primary 6,no,yes,no,Company_A Company_B Company_C,Company_B,yes,no,,yes,yes,no,yes,no,yes,yes,yes,no
